Wehrmacht	ver-mákt
Zuckerberg	cukker-berg
Actium	akcijum
Allen	e-len
Antonia	antónia
Antonius	antónijusz
Aristide Briand	arisztid brájend
Associated Press	összósiéjtid pressz
Bánffy	bánfi
Barbarossa	barba-rossza
Barth	bárt
Beaufighter	bófájtör
Beeblebrox	bíböl-broksz
BEEBLEBROX	bíbölbroksz
Bethesda	betesda
Brasta	brásztá
BRASTA	brásztá
Bristol	brisztol
Capital	kepitöl
Centauri	kentauri
CENTAURI	kentauri
Charles De Gaulle	sárl dögól
Charles de Gaulle	sárl dögól
Charta	karta
Chester	cseszter
Chicagó	csikágó
Cicero	ciceró
Civil	tcivil
Civil	szivil
Civitas	civítász
civitas	civítász
Claudius	klaudijusz
Corbett	korbet
Criminaldoctor	kriminál-doktór
DC	díszí
DC	détcé
De Gaulle	dögól
de Gaulle	dögól
Deogracias	deógrászijász
divi filius	dívi fílijusz
Divi Filius	dívi fíliusz
dominus et deus	dóminusz et deusz
Dominus et Deus	dóminusz et deusz
Ehnaton	ehna-ton
Erste	erszte
ERSTE	erszte
Erwin	ervin
Exeter	ekszeter
Fiume	fiju-me
Flagstaff	flegsztáf
Foochg	fúcsg
FOOCHG	eff-ó ó-tcéhágé
Francó	frankó
Frankenstein	frankejn-stejn
Freeman	frímen
Gallia	gal-lia
Genová	dzsenová
Google	gúgöl
Grande Armée	grán ármé
Grenoble	grenóböl
Habeas Corpus	hábeász korpusz
habeas corpus	hábe-ász korpusz
Hadrianus	hadrijánusz
Hannibal	hanibál
Hannibal	hanni-bál
Hawaii	háváji
Hawaii	háváj
Heister	hájsz-ter
Helmut Schmidt	helm-ut smitt
Heydrich	hejd-rih
Himmler	him-ler
Hjalmar Schacht	jálmár sákt
Hunter	hántör
IMF	ájemef
Instagram	insta-gramm
Jacob	dzsékob
Jeltz	jelc
Joseph	yozef
Joseph	jo-zef
Journal	zsurnál
Journal	dzsörnöl
Junius Brutus	júnijusz brútusz
Katharine	kétrin
Linde	lindi
Lindemann	linde-mann
Louis	lujíz
Louis	lují
Lucretius	lukrétciusz
Luther	lu-ter
Macbeth	mákbet
Marcus Aurelius	márkusz aurélijusz
mare nostrum	máre nosztrum
Mare Nostrum	máre nosztrum
Marine	márín
Maxwell	mekszvell
Mercedes	mercédesz
Monarchiá	monarhiá
Moran	móren
Moray	moraji
Morse	morze
Norge	norje
Octavianus	oktávijánusz
Olbers	ol-bersz
Orleans	orleán
Orleans	orlínsz
Orléans	orleán
Osnabrück	osznábrükk
Paul	pól
Paul	paul
Penzias	penzijász
Philadelphiá	filadelfijá
Plinius	plínijusz
RAF	eréjeff
Rhodes	ródz
Rights	rájtsz
Robinson	robinzon
Rouen	rüen
Royal Society	rojöl szoszájöti
Rundstedt	rund-stett
Sagan	szégen
Sang	sáng
Sang	száng
Saul	sa-ul
Simeon	sim-eon
